0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:05 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10745
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:06 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7275
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:07 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 8121
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:09 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 8121
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:09 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 8121
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:10 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 8121
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:29 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7275
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:31 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 8121
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:32 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7275
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:34 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10745
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:37 +0530] "GET /Online-Retail-Web-app/products/1 HTTP/1.1" 200 16031
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:38 +0530] "GET /Online-Retail-Web-app/productdetail/1 HTTP/1.1" 200 9556
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:40 +0530] "GET /Online-Retail-Web-app/Adetail/1 HTTP/1.1" 200 6223
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:43 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10745
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:46 +0530] "GET /Online-Retail-Web-app/Adetail/1 HTTP/1.1" 200 6223
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:46 +0530] "GET /Online-Retail-Web-app/productdetail/1 HTTP/1.1" 200 9556
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:48 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7275
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:52 +0530] "GET /Online-Retail-Web-app/detail HTTP/1.1" 200 6197
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:54 +0530] "GET /Online-Retail-Web-app/wishlist HTTP/1.1" 200 8121
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:55 +0530] "GET /Online-Retail-Web-app/detail HTTP/1.1" 200 6197
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:57 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10745
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:58 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7275
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:59 +0530] "GET /Online-Retail-Web-app/products/1 HTTP/1.1" 200 16031
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:10:37 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10745
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:10:39 +0530] "GET /Online-Retail-Web-app/products/1 HTTP/1.1" 200 16031
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:10:41 +0530] "GET /Online-Retail-Web-app/productdetail/1 HTTP/1.1" 200 9394
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:15:35 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10758
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:15:35 +0530] "GET /Online-Retail-Web-app/productdetail/1 HTTP/1.1" 200 9417
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:15:37 +0530] "GET /Online-Retail-Web-app/auth HTTP/1.1" 200 4822
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:15:43 +0530] "POST /Online-Retail-Web-app/checking HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:15:43 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10745
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:15:47 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7275
